Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2013/2014,North,Northern Lights College,Domestic,"7,400"
2013/2014,North,Northern Lights College,International,230
2013/2014,North,Coast Mountain College,Domestic,"5,270"
2013/2014,North,Coast Mountain College,International,*
2014/2015,Lower Mainland,University Of British Columbia Vancouver,Domestic,"42,910"
2014/2015,Lower Mainland,University Of British Columbia Vancouver,International,"11,180"
2014/2015,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,700"
2014/2015,Lower Mainland,British Columbia Institute Of Technology,International,"2,590"
2014/2015,Lower Mainland,Simon Fraser University,Domestic,"26,945"
2014/2015,Lower Mainland,Simon Fraser University,International,"6,600"
2014/2015,Lower Mainland,Justice Institute Of British Columbia,Domestic,"30,575"
2014/2015,Lower Mainland,Justice Institute Of British Columbia,International,425
2014/2015,Lower Mainland,Douglas College,Domestic,"21,685"
2014/2015,Lower Mainland,Douglas College,International,"2,175"
2014/2015,Lower Mainland,Langara College,Domestic,"17,465"
2014/2015,Lower Mainland,Langara College,International,"2,945"
2014/2015,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,210"
2014/2015,Lower Mainland,Kwantlen Polytechnic University,International,"2,245"
2014/2015,Lower Mainland,Vancouver Community College,Domestic,"16,130"
2014/2015,Lower Mainland,Vancouver Community College,International,595
2014/2015,Lower Mainland,University Of The Fraser Valley,Domestic,"13,295"
2014/2015,Lower Mainland,University Of The Fraser Valley,International,"1,055"
2014/2015,Lower Mainland,Capilano University,Domestic,"11,200"
2014/2015,Lower Mainland,Capilano University,International,995
2014/2015,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,360"
2014/2015,Lower Mainland,Emily Carr University Of Art And Design,International,465
2014/2015,Vancouver Island and Coast,University Of Victoria,Domestic,"20,065"
2014/2015,Vancouver Island and Coast,University Of Victoria,International,"3,765"
2014/2015,Vancouver Island and Coast,Camosun College,Domestic,"17,040"
2014/2015,Vancouver Island and Coast,Camosun College,International,"1,510"
2014/2015,Vancouver Island and Coast,Vancouver Island University,Domestic,"13,935"
2014/2015,Vancouver Island and Coast,Vancouver Island University,International,"2,130"
2014/2015,Vancouver Island and Coast,North Island College,Domestic,"8,195"
2014/2015,Vancouver Island and Coast,North Island College,International,295
2014/2015,Vancouver Island and Coast,Royal Roads University,Domestic,"3,465"
2014/2015,Vancouver Island and Coast,Royal Roads University,International,495
2014/2015,Thompson Okanagan,Thompson Rivers University,Domestic,"26,855"
2014/2015,Thompson Okanagan,Thompson Rivers University,International,"2,885"
2014/2015,Thompson Okanagan,Okanagan College,Domestic,"18,280"
2014/2015,Thompson Okanagan,Okanagan College,International,935
2014/2015,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,450"
2014/2015,Thompson Okanagan,University Of British Columbia Okanagan,International,980
2014/2015,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,365"
2014/2015,Thompson Okanagan,Nicola Valley Institute Of Technology,International,95
2014/2015,Cariboo,College Of New Caledonia,Domestic,"8,105"
2014/2015,Cariboo,College Of New Caledonia,International,460
2014/2015,Cariboo,University Of Northern British Columbia,Domestic,"3,365"
2014/2015,Cariboo,University Of Northern British Columbia,International,425
2014/2015,Kootenay,Selkirk College,Domestic,"11,480"
2014/2015,Kootenay,Selkirk College,International,570
2014/2015,Kootenay,College Of The Rockies,Domestic,"9,805"
2014/2015,Kootenay,College Of The Rockies,International,380
2014/2015,North,Northern Lights College,Domestic,"7,010"
2014/2015,North,Northern Lights College,International,435
2014/2015,North,Coast Mountain College,Domestic,"5,125"
2014/2015,North,Coast Mountain College,International,*
2015/2016,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,420"
2015/2016,Lower Mainland,University Of British Columbia Vancouver,International,"12,330"
2015/2016,Lower Mainland,British Columbia Institute Of Technology,Domestic,"42,020"
2015/2016,Lower Mainland,British Columbia Institute Of Technology,International,"3,430"
2015/2016,Lower Mainland,Simon Fraser University,Domestic,"26,605"
2015/2016,Lower Mainland,Simon Fraser University,International,"6,800"
2015/2016,Lower Mainland,Justice Institute Of British Columbia,Domestic,"25,570"
2015/2016,Lower Mainland,Justice Institute Of British Columbia,International,705
2015/2016,Lower Mainland,Douglas College,Domestic,"21,310"
